# Rime user dictionary
#@/db_name	xhup.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	702
#@/user_id	kktt
mklk 	命令	c=1 d=0.774917 t=702
morf 	默认	c=1 d=0.0323869 t=702
muqm 	目前	c=1 d=0.19205 t=702
mwci 	每次	c=1 d=0.585669 t=702
mwhc 	美好	c=1 d=0.588605 t=702
mwhx 	美化	c=3 d=1.43759 t=702
mwti 	媒体	c=1 d=0.771051 t=702
mwyd 	美	c=2 d=0.879391 t=702
mwyz 	没有	c=1 d=0.826959 t=702
n 	你	c=7 d=1.09301 t=702
na 	那	c=1 d=0.126818 t=702
nak 	哪	c=5 d=3.26198 t=702
name 	那么	c=1 d=0.810584 t=702
ng 	能	c=3 d=0.587523 t=702
nihc 	你好	c=2 d=1.52295 t=702
njkj 	难看	c=2 d=0.301194 t=702
nmdd 	年代	c=1 d=0.225373 t=702
o 	哦	c=1 d=0.12938 t=702
pi 	批	c=2 d=0.782705 t=702
pj 	盘	c=3 d=1.2264 t=702
pnll 	漂亮	c=1 d=0.264477 t=702
pwvi 	配置	c=2 d=0.408973 t=702
qids 	启动	c=1 d=0.810584 t=702
qik 	器	c=1 d=0.228779 t=702
qiui 	其实	c=1 d=0.146607 t=702
qkjn 	请教	c=1 d=0.215455 t=702
qpv 	强迫症	c=1 d=0.250324 t=702
qtui 	确实	c=1 d=0.130029 t=702
quxn 	取消	c=2 d=0.465672 t=702
qy 	群	c=3 d=1.5268 t=702
re 	热	c=1 d=0.909373 t=702
rjhz 	然后	c=2 d=0.821345 t=702
rrjm 	软件	c=3 d=0.794533 t=702
rugo 	如果	c=1 d=0.79057 t=702
s 	三	c=1 d=0.364219 t=702
sz 	搜	c=1 d=0.882497 t=702
t 	他	c=1 d=0.160414 t=702
tdj 	钛	c=1 d=0.481909 t=702
th 	汤	c=1 d=0.900325 t=702
tmjx 	添加	c=1 d=0.449329 t=702
tsyh 	同样	c=1 d=0.398519 t=702
tz 	头	c=2 d=0.421336 t=702
u 	是	c=23 d=6.33521 t=702
ua 	啥	c=1 d=0.183599 t=702
uevi 	设置	c=2 d=0.771051 t=702
ufme 	什么	c=5 d=1.85996 t=702
uia 	事	c=2 d=0.495875 t=702
uihz 	时候	c=1 d=0.280832 t=702
uiks 	时空	c=1 d=0.71177 t=702
